,cluster1,cluster2
0,0.2730423350066019,0.2345340031537244
1,0.90862630084169,0.8954042622831706
2,0.9750592424429552,0.9790395050904261
3,0.8187493455419108,0.8629336909683238
4,0.9943485076684644,0.993121066979682
5,0.01094248849763989,0.011363065095093923
6,0.003495079526093695,0.003654516327571599
7,0.007835196722519783,0.006854342107162386
8,0.037532334147692116,0.04077358378348703
9,0.00846934919818985,0.009592717704869644
10,0.029835372884482448,0.028021386198103772
11,0.029886631546053668,0.02806390391599778
12,0.4697238490784241,0.8839233038240852
13,0.6311827622526572,0.8639330122664752
14,0.5069834371691885,0.9008740739998786
15,0.007515600287930124,0.008122294529012614
16,0.8846390633178401,0.8998973045230224
17,0.796919864905695,0.8398153156016713
